                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1255,                0.94293,                 1.0907,                0.70786,                0.79136,                0.78618,                0.64122,                 1.0044,                 0.6775,                 1.0944,               0.008317,               0.008317,               0.008317
                     36,                 1.1151,                0.93283,                 1.0851,                0.75503,                0.75776,                0.78378,                0.63706,                 1.0044,                0.68053,                 1.0972,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1183,                0.93425,                 1.0858,                0.78276,                0.75391,                0.80625,                0.66303,                 1.0004,                0.66565,                 1.0939,               0.008218,               0.008218,               0.008218
                     38,                 1.1185,                0.93828,                  1.086,                0.77098,                0.74143,                 0.7867,                0.64408,                0.99836,                0.67175,                 1.0907,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1145,                0.93182,                 1.0842,                 0.6982,                0.75463,                0.77782,                 0.6395,                0.99948,                0.67263,                 1.0902,               0.008119,               0.008119,               0.008119
                     40,                 1.1182,                0.92834,                 1.0872,                0.78603,                0.75891,                0.81538,                0.67446,                 0.9969,                0.65552,                   1.09,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1105,                0.92885,                 1.0836,                0.70488,                0.79048,                 0.7926,                0.65061,                 0.9981,                0.66102,                 1.0898,                0.00802,                0.00802,                0.00802
                     42,                 1.1115,                0.92403,                 1.0823,                0.73874,                0.78982,                0.81622,                0.67541,                 0.9943,                0.65482,                 1.0868,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1112,                0.92482,                 1.0846,                0.79969,                0.74466,                0.80744,                0.66504,                0.99435,                 0.6574,                 1.0881,               0.007921,               0.007921,               0.007921
                     44,                 1.1124,                0.92591,                 1.0834,                0.77458,                0.76308,                0.81144,                0.66759,                0.99548,                0.66678,                 1.0883,              0.0078715,              0.0078715,              0.0078715
