                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                 1.0099,                0.80117,                 1.0336,                0.77651,                0.81842,                 0.8308,                0.69471,                0.97623,                0.61852,                  1.067,               0.002476,               0.002476,               0.002476
                    154,                 1.0085,                0.80303,                 1.0329,                0.78182,                0.80687,                0.83073,                0.69448,                0.97615,                 0.6183,                 1.0668,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0066,                0.80194,                 1.0318,                0.77156,                0.82547,                0.83123,                0.69594,                 0.9761,                0.61793,                 1.0667,               0.002377,               0.002377,               0.002377
                    156,                 1.0113,                0.80086,                 1.0337,                0.77399,                0.82351,                0.83202,                0.69631,                0.97602,                0.61739,                 1.0664,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0089,                0.79927,                 1.0339,                0.78422,                0.80994,                0.83231,                0.69738,                0.97586,                0.61698,                 1.0664,               0.002278,               0.002278,               0.002278
                    158,                 1.0058,                0.80238,                 1.0316,                0.78207,                0.81636,                0.83243,                0.69759,                0.97588,                0.61599,                 1.0662,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0049,                0.79912,                  1.031,                0.79474,                0.80584,                0.83297,                0.69935,                0.97593,                0.61633,                 1.0663,               0.002179,               0.002179,               0.002179
                    160,                 1.0073,                0.79374,                 1.0326,                0.79367,                0.80643,                 0.8338,                0.70037,                0.97572,                0.61527,                  1.066,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.0086,                0.79468,                 1.0322,                0.78456,                0.81115,                0.83554,                0.70206,                0.97572,                0.61476,                 1.0659,                0.00208,                0.00208,                0.00208
                    162,                 1.0007,                0.79585,                 1.0295,                 0.7779,                0.82011,                0.83689,                0.70289,                 0.9755,                0.61381,                 1.0658,              0.0020305,              0.0020305,              0.0020305
                    163,                0.99968,                0.79164,                 1.0282,                 0.7899,                0.80956,                 0.8376,                0.70399,                0.97549,                0.61328,                 1.0656,               0.001981,               0.001981,               0.001981
                    164,                  1.003,                0.79749,                 1.0302,                0.78311,                0.81061,                0.83661,                0.70244,                0.97537,                0.61321,                 1.0655,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.0014,                0.79051,                 1.0308,                0.78427,                0.81031,                0.83679,                  0.703,                0.97538,                0.61335,                 1.0653,               0.001882,               0.001882,               0.001882
                    166,                0.99632,                0.79241,                 1.0276,                 0.7866,                0.80982,                0.83675,                0.70411,                0.97553,                0.61333,                 1.0652,              0.0018325,              0.0018325,              0.0018325
                    167,                0.99833,                  0.795,                 1.0293,                0.78689,                0.80971,                0.83726,                0.70469,                0.97555,                0.61376,                 1.0649,               0.001783,               0.001783,               0.001783
                    168,                0.99445,                0.78907,                  1.027,                0.78712,                0.80974,                0.83687,                0.70442,                0.97559,                0.61332,                 1.0649,              0.0017335,              0.0017335,              0.0017335
                    169,                0.99589,                 0.7868,                 1.0276,                0.78455,                0.81123,                0.83529,                0.70288,                0.97564,                0.61285,                 1.0649,               0.001684,               0.001684,               0.001684
                    170,                0.99443,                0.78237,                 1.0264,                0.78538,                0.81206,                0.83631,                0.70379,                0.97543,                0.61211,                 1.0647,              0.0016345,              0.0016345,              0.0016345
                    171,                0.99819,                0.78613,                 1.0291,                0.78228,                0.81414,                0.83669,                 0.7041,                0.97564,                0.61201,                 1.0648,               0.001585,               0.001585,               0.001585
                    172,                0.99081,                0.78483,                 1.0256,                0.77553,                0.81851,                0.83675,                0.70438,                0.97551,                 0.6116,                 1.0646,              0.0015355,              0.0015355,              0.0015355
                    173,                0.99216,                0.77633,                 1.0253,                0.77485,                0.81908,                0.83668,                0.70311,                 0.9757,                0.61122,                 1.0646,               0.001486,               0.001486,               0.001486
                    174,                0.98876,                0.78283,                 1.0242,                0.77403,                0.81829,                0.83616,                0.70396,                0.97562,                 0.6108,                 1.0646,              0.0014365,              0.0014365,              0.0014365
                    175,                0.99101,                0.78094,                 1.0246,                0.77417,                0.81787,                0.83597,                0.70328,                0.97559,                0.61047,                 1.0645,               0.001387,               0.001387,               0.001387
                    176,                0.98735,                 0.7745,                 1.0237,                0.77419,                0.81815,                0.83595,                0.70298,                0.97559,                0.61012,                 1.0643,              0.0013375,              0.0013375,              0.0013375
                    177,                0.98676,                0.78247,                 1.0232,                0.78128,                0.81632,                 0.8367,                0.70371,                0.97568,                0.60977,                 1.0643,               0.001288,               0.001288,               0.001288
                    178,                0.98252,                0.77399,                 1.0215,                0.78206,                0.81617,                0.83712,                0.70514,                0.97559,                0.60938,                 1.0641,              0.0012385,              0.0012385,              0.0012385
                    179,                0.98371,                0.77499,                 1.0221,                0.78045,                0.81352,                0.83789,                0.70649,                0.97574,                0.60936,                  1.064,               0.001189,               0.001189,               0.001189
                    180,                0.98125,                0.77812,                 1.0226,                0.77992,                0.81435,                 0.8382,                0.70606,                0.97575,                0.60899,                  1.064,              0.0011395,              0.0011395,              0.0011395
                    181,                0.98206,                0.77729,                  1.023,                0.77928,                0.81651,                0.83897,                  0.706,                0.97583,                0.60849,                 1.0639,                0.00109,                0.00109,                0.00109
                    182,                0.98236,                0.77454,                 1.0225,                0.78129,                0.81486,                0.83972,                0.70701,                0.97582,                0.60795,                 1.0637,              0.0010405,              0.0010405,              0.0010405
                    183,                 0.9787,                0.77059,                 1.0207,                  0.777,                0.81856,                0.83824,                0.70597,                0.97601,                0.60811,                 1.0637,               0.000991,               0.000991,               0.000991
                    184,                0.97959,                0.77229,                 1.0204,                0.77803,                0.81821,                0.83889,                0.70617,                0.97612,                 0.6076,                 1.0637,              0.0009415,              0.0009415,              0.0009415
                    185,                0.97614,                 0.7733,                 1.0195,                 0.7754,                0.81961,                0.83853,                0.70655,                0.97589,                0.60666,                 1.0635,               0.000892,               0.000892,               0.000892
                    186,                0.97782,                0.77255,                 1.0183,                0.77582,                0.82249,                 0.8402,                0.70771,                0.97599,                0.60645,                 1.0634,              0.0008425,              0.0008425,              0.0008425
                    187,                0.97316,                0.76565,                  1.018,                 0.7699,                 0.8257,                0.84184,                0.71021,                0.97577,                0.60528,                 1.0632,               0.000793,               0.000793,               0.000793
                    188,                0.97089,                0.76394,                  1.016,                0.76946,                0.82622,                0.84231,                0.70982,                0.97582,                0.60451,                  1.063,              0.0007435,              0.0007435,              0.0007435
                    189,                0.97343,                0.76966,                 1.0185,                0.76486,                0.82962,                0.84304,                0.71119,                0.97573,                0.60388,                 1.0629,               0.000694,               0.000694,               0.000694
                    190,                0.96994,                0.76904,                 1.0173,                0.76465,                0.83026,                0.84367,                0.71167,                0.97566,                 0.6033,                 1.0628,              0.0006445,              0.0006445,              0.0006445
                    191,                 0.9428,                0.70724,                 1.0327,                0.77297,                0.82202,                0.84106,                0.70881,                0.97596,                0.60515,                  1.063,               0.000595,               0.000595,               0.000595
                    192,                 0.9338,                0.70198,                 1.0262,                0.76505,                0.82284,                0.83912,                0.70736,                0.97623,                0.60652,                 1.0631,              0.0005455,              0.0005455,              0.0005455
                    193,                 0.9317,                0.69851,                 1.0252,                0.76936,                0.81759,                0.83788,                 0.7065,                0.97678,                0.60837,                 1.0633,               0.000496,               0.000496,               0.000496
                    194,                0.92755,                0.69613,                 1.0239,                  0.771,                0.81066,                 0.8372,                0.70619,                0.97696,                0.60842,                 1.0632,              0.0004465,              0.0004465,              0.0004465
                    195,                 0.9266,                0.69385,                 1.0231,                0.77078,                0.81069,                0.83566,                0.70447,                0.97712,                0.60855,                 1.0632,               0.000397,               0.000397,               0.000397
                    196,                 0.9214,                0.69196,                 1.0225,                0.77142,                0.80969,                0.83459,                0.70481,                0.97742,                0.60917,                 1.0633,              0.0003475,              0.0003475,              0.0003475
                    197,                0.92145,                0.68912,                 1.0209,                0.77176,                0.81324,                0.83479,                0.70492,                0.97743,                 0.6098,                 1.0632,               0.000298,               0.000298,               0.000298
                    198,                0.91799,                0.68939,                   1.02,                0.77258,                0.80901,                0.83517,                 0.7053,                0.97748,                 0.6095,                 1.0631,              0.0002485,              0.0002485,              0.0002485
                    199,                0.91936,                0.68769,                  1.021,                0.76101,                0.81801,                0.83435,                 0.7051,                0.97749,                0.60966,                 1.0631,               0.000199,               0.000199,               0.000199
                    200,                0.91476,                0.68649,                 1.0196,                0.75159,                0.83338,                0.83657,                0.70722,                0.97741,                0.60893,                 1.0629,              0.0001495,              0.0001495,              0.0001495
